round	variant	phase	occurrence	elapsed_ms
4	baseline	Compacted	1	3718
5	baseline	Bulk loaded 5000000 items	1	14431
5	baseline	Wrote 1000 individual items	1	45
5	baseline	Wrote 100 batches of 1000 items	1	1545
5	baseline	Wrote 50000 individual items	1	3449
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1594
5	baseline	Random read 1000000 items	2	1574
5	baseline	Random range read 500000 x 10 elements	1	1623
5	baseline	Random range read 500000 x 10 elements	2	1660
5	baseline	Random read (4 threads) 5151000 items	1	2078
5	baseline	Random read (8 threads) 5151000 items	1	1176
5	baseline	Random read (16 threads) 5151000 items	1	1185
5	baseline	Random read (32 threads) 5151000 items	1	1175
5	baseline	Removed 2575500 items	1	10172
5	baseline	Compacted	1	3815
5	optimized	Bulk loaded 5000000 items	1	15260
5	optimized	Wrote 1000 individual items	1	48
5	optimized	Wrote 100 batches of 1000 items	1	1589
5	optimized	Wrote 50000 individual items	1	3535
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1644
5	optimized	Random read 1000000 items	2	1700
5	optimized	Random range read 500000 x 10 elements	1	1649
5	optimized	Random range read 500000 x 10 elements	2	1645
5	optimized	Random read (4 threads) 5151000 items	1	2131
5	optimized	Random read (8 threads) 5151000 items	1	1223
5	optimized	Random read (16 threads) 5151000 items	1	1272
5	optimized	Random read (32 threads) 5151000 items	1	1235
5	optimized	Removed 2575500 items	1	10110
5	optimized	Compacted	1	3771
6	optimized	Bulk loaded 5000000 items	1	14640
6	optimized	Wrote 1000 individual items	1	49
6	optimized	Wrote 100 batches of 1000 items	1	1567
6	optimized	Wrote 50000 individual items	1	3761
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1693
6	optimized	Random read 1000000 items	2	1610
6	optimized	Random range read 500000 x 10 elements	1	1668
6	optimized	Random range read 500000 x 10 elements	2	1652
6	optimized	Random read (4 threads) 5151000 items	1	2131
6	optimized	Random read (8 threads) 5151000 items	1	1201
6	optimized	Random read (16 threads) 5151000 items	1	1222
6	optimized	Random read (32 threads) 5151000 items	1	1203
6	optimized	Removed 2575500 items	1	9854
6	optimized	Compacted	1	3731
6	baseline	Bulk loaded 5000000 items	1	13935
6	baseline	Wrote 1000 individual items	1	45
6	baseline	Wrote 100 batches of 1000 items	1	1580
6	baseline	Wrote 50000 individual items	1	3407
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1541
6	baseline	Random read 1000000 items	2	1550
6	baseline	Random range read 500000 x 10 elements	1	1586
6	baseline	Random range read 500000 x 10 elements	2	1609
6	baseline	Random read (4 threads) 5151000 items	1	2055
6	baseline	Random read (8 threads) 5151000 items	1	1328
6	baseline	Random read (16 threads) 5151000 items	1	1213
6	baseline	Random read (32 threads) 5151000 items	1	1176
6	baseline	Removed 2575500 items	1	9840
6	baseline	Compacted	1	3683
7	baseline	Bulk loaded 5000000 items	1	13778
7	baseline	Wrote 1000 individual items	1	44
7	baseline	Wrote 100 batches of 1000 items	1	1501
7	baseline	Wrote 50000 individual items	1	3431
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1508
7	baseline	Random read 1000000 items	2	1544
7	baseline	Random range read 500000 x 10 elements	1	1595
7	baseline	Random range read 500000 x 10 elements	2	1609
7	baseline	Random read (4 threads) 5151000 items	1	2043
7	baseline	Random read (8 threads) 5151000 items	1	1275
7	baseline	Random read (16 threads) 5151000 items	1	1172
7	baseline	Random read (32 threads) 5151000 items	1	1171
7	baseline	Removed 2575500 items	1	9788
7	baseline	Compacted	1	3709
7	optimized	Bulk loaded 5000000 items	1	14003
7	optimized	Wrote 1000 individual items	1	45
7	optimized	Wrote 100 batches of 1000 items	1	1509
7	optimized	Wrote 50000 individual items	1	3432
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1567
7	optimized	Random read 1000000 items	2	1544
7	optimized	Random range read 500000 x 10 elements	1	1623
7	optimized	Random range read 500000 x 10 elements	2	1637
7	optimized	Random read (4 threads) 5151000 items	1	2066
7	optimized	Random read (8 threads) 5151000 items	1	1190
7	optimized	Random read (16 threads) 5151000 items	1	1224
7	optimized	Random read (32 threads) 5151000 items	1	1215
7	optimized	Removed 2575500 items	1	9961
7	optimized	Compacted	1	3915
