round	variant	phase	occurrence	elapsed_ms
4	baseline	Compacted	1	3677
5	baseline	Bulk loaded 5000000 items	1	14033
5	baseline	Wrote 1000 individual items	1	46
5	baseline	Wrote 100 batches of 1000 items	1	1547
5	baseline	Wrote 50000 individual items	1	3428
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1735
5	baseline	Random read 1000000 items	2	1575
5	baseline	Random range read 500000 x 10 elements	1	1613
5	baseline	Random range read 500000 x 10 elements	2	1616
5	baseline	Random read (4 threads) 5151000 items	1	2063
5	baseline	Random read (8 threads) 5151000 items	1	1163
5	baseline	Random read (16 threads) 5151000 items	1	1221
5	baseline	Random read (32 threads) 5151000 items	1	1186
5	baseline	Removed 2575500 items	1	9872
5	baseline	Compacted	1	3709
5	optimized	Bulk loaded 5000000 items	1	13692
5	optimized	Wrote 1000 individual items	1	45
5	optimized	Wrote 100 batches of 1000 items	1	1498
5	optimized	Wrote 50000 individual items	1	3396
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1554
5	optimized	Random read 1000000 items	2	1542
5	optimized	Random range read 500000 x 10 elements	1	1610
5	optimized	Random range read 500000 x 10 elements	2	1696
5	optimized	Random read (4 threads) 5151000 items	1	2035
5	optimized	Random read (8 threads) 5151000 items	1	1176
5	optimized	Random read (16 threads) 5151000 items	1	1389
5	optimized	Random read (32 threads) 5151000 items	1	1172
5	optimized	Removed 2575500 items	1	9771
5	optimized	Compacted	1	3758
6	optimized	Bulk loaded 5000000 items	1	13774
6	optimized	Wrote 1000 individual items	1	44
6	optimized	Wrote 100 batches of 1000 items	1	1584
6	optimized	Wrote 50000 individual items	1	3379
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1607
6	optimized	Random read 1000000 items	2	1577
6	optimized	Random range read 500000 x 10 elements	1	1598
6	optimized	Random range read 500000 x 10 elements	2	1637
6	optimized	Random read (4 threads) 5151000 items	1	2012
6	optimized	Random read (8 threads) 5151000 items	1	1156
6	optimized	Random read (16 threads) 5151000 items	1	1296
6	optimized	Random read (32 threads) 5151000 items	1	1316
6	optimized	Removed 2575500 items	1	10026
6	optimized	Compacted	1	3723
6	baseline	Bulk loaded 5000000 items	1	14001
6	baseline	Wrote 1000 individual items	1	45
6	baseline	Wrote 100 batches of 1000 items	1	1714
6	baseline	Wrote 50000 individual items	1	3438
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1748
6	baseline	Random read 1000000 items	2	1610
6	baseline	Random range read 500000 x 10 elements	1	1607
6	baseline	Random range read 500000 x 10 elements	2	1616
6	baseline	Random read (4 threads) 5151000 items	1	2060
6	baseline	Random read (8 threads) 5151000 items	1	1210
6	baseline	Random read (16 threads) 5151000 items	1	1171
6	baseline	Random read (32 threads) 5151000 items	1	1178
6	baseline	Removed 2575500 items	1	9827
6	baseline	Compacted	1	3734
7	baseline	Bulk loaded 5000000 items	1	14060
7	baseline	Wrote 1000 individual items	1	46
7	baseline	Wrote 100 batches of 1000 items	1	1534
7	baseline	Wrote 50000 individual items	1	3422
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1585
7	baseline	Random read 1000000 items	2	1612
7	baseline	Random range read 500000 x 10 elements	1	1643
7	baseline	Random range read 500000 x 10 elements	2	1639
7	baseline	Random read (4 threads) 5151000 items	1	2098
7	baseline	Random read (8 threads) 5151000 items	1	1185
7	baseline	Random read (16 threads) 5151000 items	1	1190
7	baseline	Random read (32 threads) 5151000 items	1	1187
7	baseline	Removed 2575500 items	1	9814
7	baseline	Compacted	1	3691
7	optimized	Bulk loaded 5000000 items	1	13842
7	optimized	Wrote 1000 individual items	1	44
7	optimized	Wrote 100 batches of 1000 items	1	1708
7	optimized	Wrote 50000 individual items	1	3418
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1584
7	optimized	Random read 1000000 items	2	1596
7	optimized	Random range read 500000 x 10 elements	1	1595
7	optimized	Random range read 500000 x 10 elements	2	1627
7	optimized	Random read (4 threads) 5151000 items	1	2062
7	optimized	Random read (8 threads) 5151000 items	1	1145
7	optimized	Random read (16 threads) 5151000 items	1	1182
7	optimized	Random read (32 threads) 5151000 items	1	1168
7	optimized	Removed 2575500 items	1	9791
7	optimized	Compacted	1	3756
