round	variant	phase	occurrence	elapsed_ms
4	baseline	Compacted	1	4023
5	baseline	Bulk loaded 5000000 items	1	15220
5	baseline	Wrote 1000 individual items	1	48
5	baseline	Wrote 100 batches of 1000 items	1	1630
5	baseline	Wrote 50000 individual items	1	3740
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1740
5	baseline	Random read 1000000 items	2	1856
5	baseline	Random range read 500000 x 10 elements	1	1764
5	baseline	Random range read 500000 x 10 elements	2	1715
5	baseline	Random read (4 threads) 5151000 items	1	2214
5	baseline	Random read (8 threads) 5151000 items	1	1352
5	baseline	Random read (16 threads) 5151000 items	1	1328
5	baseline	Random read (32 threads) 5151000 items	1	1257
5	baseline	Removed 2575500 items	1	10519
5	baseline	Compacted	1	3946
5	optimized	Bulk loaded 5000000 items	1	15029
5	optimized	Wrote 1000 individual items	1	47
5	optimized	Wrote 100 batches of 1000 items	1	1629
5	optimized	Wrote 50000 individual items	1	3692
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1718
5	optimized	Random read 1000000 items	2	1720
5	optimized	Random range read 500000 x 10 elements	1	1733
5	optimized	Random range read 500000 x 10 elements	2	1798
5	optimized	Random read (4 threads) 5151000 items	1	2225
5	optimized	Random read (8 threads) 5151000 items	1	1419
5	optimized	Random read (16 threads) 5151000 items	1	1338
5	optimized	Random read (32 threads) 5151000 items	1	1489
5	optimized	Removed 2575500 items	1	11180
5	optimized	Compacted	1	4018
6	optimized	Bulk loaded 5000000 items	1	15875
6	optimized	Wrote 1000 individual items	1	49
6	optimized	Wrote 100 batches of 1000 items	1	1772
6	optimized	Wrote 50000 individual items	1	3774
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	2028
6	optimized	Random read 1000000 items	2	1960
6	optimized	Random range read 500000 x 10 elements	1	1850
6	optimized	Random range read 500000 x 10 elements	2	1857
6	optimized	Random read (4 threads) 5151000 items	1	2416
6	optimized	Random read (8 threads) 5151000 items	1	1314
6	optimized	Random read (16 threads) 5151000 items	1	1332
6	optimized	Random read (32 threads) 5151000 items	1	1305
6	optimized	Removed 2575500 items	1	11564
6	optimized	Compacted	1	4076
6	baseline	Bulk loaded 5000000 items	1	15891
6	baseline	Wrote 1000 individual items	1	49
6	baseline	Wrote 100 batches of 1000 items	1	1671
6	baseline	Wrote 50000 individual items	1	3699
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1928
6	baseline	Random read 1000000 items	2	1893
6	baseline	Random range read 500000 x 10 elements	1	1949
6	baseline	Random range read 500000 x 10 elements	2	1914
6	baseline	Random read (4 threads) 5151000 items	1	2334
6	baseline	Random read (8 threads) 5151000 items	1	1337
6	baseline	Random read (16 threads) 5151000 items	1	1392
6	baseline	Random read (32 threads) 5151000 items	1	1303
