round	variant	phase	occurrence	elapsed_ms
4	baseline	Compacted	1	3927
5	baseline	Bulk loaded 5000000 items	1	14876
5	baseline	Wrote 1000 individual items	1	47
5	baseline	Wrote 100 batches of 1000 items	1	1607
5	baseline	Wrote 50000 individual items	1	3663
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1666
5	baseline	Random read 1000000 items	2	1678
5	baseline	Random range read 500000 x 10 elements	1	1686
5	baseline	Random range read 500000 x 10 elements	2	1726
5	baseline	Random read (4 threads) 5151000 items	1	2180
5	baseline	Random read (8 threads) 5151000 items	1	1227
5	baseline	Random read (16 threads) 5151000 items	1	1388
5	baseline	Random read (32 threads) 5151000 items	1	1248
5	baseline	Removed 2575500 items	1	10330
5	baseline	Compacted	1	3906
5	optimized	Bulk loaded 5000000 items	1	14712
5	optimized	Wrote 1000 individual items	1	48
5	optimized	Wrote 100 batches of 1000 items	1	1616
5	optimized	Wrote 50000 individual items	1	3660
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1664
5	optimized	Random read 1000000 items	2	1655
5	optimized	Random range read 500000 x 10 elements	1	1729
5	optimized	Random range read 500000 x 10 elements	2	1689
5	optimized	Random read (4 threads) 5151000 items	1	2172
5	optimized	Random read (8 threads) 5151000 items	1	1232
5	optimized	Random read (16 threads) 5151000 items	1	1280
5	optimized	Random read (32 threads) 5151000 items	1	1234
5	optimized	Removed 2575500 items	1	10152
5	optimized	Compacted	1	3832
6	optimized	Bulk loaded 5000000 items	1	14651
6	optimized	Wrote 1000 individual items	1	47
6	optimized	Wrote 100 batches of 1000 items	1	1630
6	optimized	Wrote 50000 individual items	1	3593
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1683
6	optimized	Random read 1000000 items	2	1676
6	optimized	Random range read 500000 x 10 elements	1	1718
6	optimized	Random range read 500000 x 10 elements	2	1669
6	optimized	Random read (4 threads) 5151000 items	1	2127
6	optimized	Random read (8 threads) 5151000 items	1	1205
6	optimized	Random read (16 threads) 5151000 items	1	1203
6	optimized	Random read (32 threads) 5151000 items	1	1220
6	optimized	Removed 2575500 items	1	9934
6	optimized	Compacted	1	3849
6	baseline	Bulk loaded 5000000 items	1	14510
6	baseline	Wrote 1000 individual items	1	46
6	baseline	Wrote 100 batches of 1000 items	1	1547
6	baseline	Wrote 50000 individual items	1	3600
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1686
6	baseline	Random read 1000000 items	2	1628
6	baseline	Random range read 500000 x 10 elements	1	1766
6	baseline	Random range read 500000 x 10 elements	2	1710
6	baseline	Random read (4 threads) 5151000 items	1	2206
6	baseline	Random read (8 threads) 5151000 items	1	1216
6	baseline	Random read (16 threads) 5151000 items	1	1249
6	baseline	Random read (32 threads) 5151000 items	1	1243
6	baseline	Removed 2575500 items	1	10193
6	baseline	Compacted	1	3849
7	baseline	Bulk loaded 5000000 items	1	14719
7	baseline	Wrote 1000 individual items	1	47
7	baseline	Wrote 100 batches of 1000 items	1	1567
7	baseline	Wrote 50000 individual items	1	3614
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1709
7	baseline	Random read 1000000 items	2	1638
7	baseline	Random range read 500000 x 10 elements	1	1661
7	baseline	Random range read 500000 x 10 elements	2	1688
7	baseline	Random read (4 threads) 5151000 items	1	2137
7	baseline	Random read (8 threads) 5151000 items	1	1517
7	baseline	Random read (16 threads) 5151000 items	1	1599
7	baseline	Random read (32 threads) 5151000 items	1	1276
7	baseline	Removed 2575500 items	1	11121
7	baseline	Compacted	1	4033
7	optimized	Bulk loaded 5000000 items	1	14571
7	optimized	Wrote 1000 individual items	1	48
7	optimized	Wrote 100 batches of 1000 items	1	1589
7	optimized	Wrote 50000 individual items	1	3669
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1717
7	optimized	Random read 1000000 items	2	1683
7	optimized	Random range read 500000 x 10 elements	1	1748
7	optimized	Random range read 500000 x 10 elements	2	1710
7	optimized	Random read (4 threads) 5151000 items	1	2508
7	optimized	Random read (8 threads) 5151000 items	1	1856
7	optimized	Random read (16 threads) 5151000 items	1	1654
7	optimized	Random read (32 threads) 5151000 items	1	1446
7	optimized	Removed 2575500 items	1	10374
7	optimized	Compacted	1	3845
