round	variant	phase	occurrence	elapsed_ms
4	baseline	Compacted	1	3760
5	baseline	Bulk loaded 5000000 items	1	14315
5	baseline	Wrote 1000 individual items	1	45
5	baseline	Wrote 100 batches of 1000 items	1	1583
5	baseline	Wrote 50000 individual items	1	3463
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1659
5	baseline	Random read 1000000 items	2	1638
5	baseline	Random range read 500000 x 10 elements	1	1682
5	baseline	Random range read 500000 x 10 elements	2	1700
5	baseline	Random read (4 threads) 5151000 items	1	2123
5	baseline	Random read (8 threads) 5151000 items	1	1353
5	baseline	Random read (16 threads) 5151000 items	1	1239
5	baseline	Random read (32 threads) 5151000 items	1	1198
5	baseline	Removed 2575500 items	1	10113
5	baseline	Compacted	1	3660
5	optimized	Bulk loaded 5000000 items	1	13953
5	optimized	Wrote 1000 individual items	1	44
5	optimized	Wrote 100 batches of 1000 items	1	1498
5	optimized	Wrote 50000 individual items	1	3533
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1594
5	optimized	Random read 1000000 items	2	1544
5	optimized	Random range read 500000 x 10 elements	1	1612
5	optimized	Random range read 500000 x 10 elements	2	1625
5	optimized	Random read (4 threads) 5151000 items	1	2064
5	optimized	Random read (8 threads) 5151000 items	1	1152
5	optimized	Random read (16 threads) 5151000 items	1	1199
5	optimized	Random read (32 threads) 5151000 items	1	1161
5	optimized	Removed 2575500 items	1	9635
5	optimized	Compacted	1	3715
6	optimized	Bulk loaded 5000000 items	1	13819
6	optimized	Wrote 1000 individual items	1	45
6	optimized	Wrote 100 batches of 1000 items	1	1592
6	optimized	Wrote 50000 individual items	1	3602
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1582
6	optimized	Random read 1000000 items	2	1613
6	optimized	Random range read 500000 x 10 elements	1	1655
6	optimized	Random range read 500000 x 10 elements	2	1689
6	optimized	Random read (4 threads) 5151000 items	1	2040
6	optimized	Random read (8 threads) 5151000 items	1	1190
6	optimized	Random read (16 threads) 5151000 items	1	1360
6	optimized	Random read (32 threads) 5151000 items	1	1169
6	optimized	Removed 2575500 items	1	9638
6	optimized	Compacted	1	3757
6	baseline	Bulk loaded 5000000 items	1	14331
6	baseline	Wrote 1000 individual items	1	44
6	baseline	Wrote 100 batches of 1000 items	1	1532
6	baseline	Wrote 50000 individual items	1	3493
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1676
6	baseline	Random read 1000000 items	2	1626
6	baseline	Random range read 500000 x 10 elements	1	1643
6	baseline	Random range read 500000 x 10 elements	2	1643
6	baseline	Random read (4 threads) 5151000 items	1	2206
6	baseline	Random read (8 threads) 5151000 items	1	1246
6	baseline	Random read (16 threads) 5151000 items	1	1203
6	baseline	Random read (32 threads) 5151000 items	1	1185
6	baseline	Removed 2575500 items	1	9879
6	baseline	Compacted	1	3765
7	baseline	Bulk loaded 5000000 items	1	13867
7	baseline	Wrote 1000 individual items	1	44
7	baseline	Wrote 100 batches of 1000 items	1	1494
7	baseline	Wrote 50000 individual items	1	3379
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1623
7	baseline	Random read 1000000 items	2	1555
7	baseline	Random range read 500000 x 10 elements	1	1611
7	baseline	Random range read 500000 x 10 elements	2	1584
7	baseline	Random read (4 threads) 5151000 items	1	2045
7	baseline	Random read (8 threads) 5151000 items	1	1167
7	baseline	Random read (16 threads) 5151000 items	1	1415
7	baseline	Random read (32 threads) 5151000 items	1	1323
7	baseline	Removed 2575500 items	1	9772
7	baseline	Compacted	1	3716
7	optimized	Bulk loaded 5000000 items	1	13734
7	optimized	Wrote 1000 individual items	1	49
7	optimized	Wrote 100 batches of 1000 items	1	1513
7	optimized	Wrote 50000 individual items	1	3427
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1570
7	optimized	Random read 1000000 items	2	1546
7	optimized	Random range read 500000 x 10 elements	1	1602
7	optimized	Random range read 500000 x 10 elements	2	1618
7	optimized	Random read (4 threads) 5151000 items	1	2040
7	optimized	Random read (8 threads) 5151000 items	1	1189
7	optimized	Random read (16 threads) 5151000 items	1	1152
7	optimized	Random read (32 threads) 5151000 items	1	1140
7	optimized	Removed 2575500 items	1	9641
7	optimized	Compacted	1	3747
