round	variant	phase	occurrence	elapsed_ms
4	baseline	Compacted	1	3721
5	baseline	Bulk loaded 5000000 items	1	14707
5	baseline	Wrote 1000 individual items	1	45
5	baseline	Wrote 100 batches of 1000 items	1	1628
5	baseline	Wrote 50000 individual items	1	3524
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1815
5	baseline	Random read 1000000 items	2	1876
5	baseline	Random range read 500000 x 10 elements	1	1755
5	baseline	Random range read 500000 x 10 elements	2	1726
5	baseline	Random read (4 threads) 5151000 items	1	2176
5	baseline	Random read (8 threads) 5151000 items	1	1202
5	baseline	Random read (16 threads) 5151000 items	1	1233
5	baseline	Random read (32 threads) 5151000 items	1	1203
5	baseline	Removed 2575500 items	1	10257
5	baseline	Compacted	1	3789
5	optimized	Bulk loaded 5000000 items	1	13840
5	optimized	Wrote 1000 individual items	1	45
5	optimized	Wrote 100 batches of 1000 items	1	1514
5	optimized	Wrote 50000 individual items	1	3425
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1483
5	optimized	Random read 1000000 items	2	1493
5	optimized	Random range read 500000 x 10 elements	1	1547
5	optimized	Random range read 500000 x 10 elements	2	1587
5	optimized	Random read (4 threads) 5151000 items	1	1993
5	optimized	Random read (8 threads) 5151000 items	1	1151
5	optimized	Random read (16 threads) 5151000 items	1	1147
5	optimized	Random read (32 threads) 5151000 items	1	1131
5	optimized	Removed 2575500 items	1	9724
5	optimized	Compacted	1	3824
6	optimized	Bulk loaded 5000000 items	1	13382
6	optimized	Wrote 1000 individual items	1	44
6	optimized	Wrote 100 batches of 1000 items	1	1470
6	optimized	Wrote 50000 individual items	1	3457
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1555
6	optimized	Random read 1000000 items	2	1595
6	optimized	Random range read 500000 x 10 elements	1	1657
6	optimized	Random range read 500000 x 10 elements	2	1526
6	optimized	Random read (4 threads) 5151000 items	1	1997
6	optimized	Random read (8 threads) 5151000 items	1	1141
6	optimized	Random read (16 threads) 5151000 items	1	1167
6	optimized	Random read (32 threads) 5151000 items	1	1164
6	optimized	Removed 2575500 items	1	9771
6	optimized	Compacted	1	3693
6	baseline	Bulk loaded 5000000 items	1	13758
6	baseline	Wrote 1000 individual items	1	44
6	baseline	Wrote 100 batches of 1000 items	1	1487
6	baseline	Wrote 50000 individual items	1	3366
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1562
6	baseline	Random read 1000000 items	2	1673
6	baseline	Random range read 500000 x 10 elements	1	1753
6	baseline	Random range read 500000 x 10 elements	2	1638
6	baseline	Random read (4 threads) 5151000 items	1	2251
6	baseline	Random read (8 threads) 5151000 items	1	1512
6	baseline	Random read (16 threads) 5151000 items	1	1252
6	baseline	Random read (32 threads) 5151000 items	1	1189
6	baseline	Removed 2575500 items	1	10569
6	baseline	Compacted	1	3911
7	baseline	Bulk loaded 5000000 items	1	14525
7	baseline	Wrote 1000 individual items	1	45
7	baseline	Wrote 100 batches of 1000 items	1	1517
7	baseline	Wrote 50000 individual items	1	3407
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1584
7	baseline	Random read 1000000 items	2	1760
7	baseline	Random range read 500000 x 10 elements	1	1743
7	baseline	Random range read 500000 x 10 elements	2	2172
7	baseline	Random read (4 threads) 5151000 items	1	2500
7	baseline	Random read (8 threads) 5151000 items	1	1797
7	baseline	Random read (16 threads) 5151000 items	1	2679
7	baseline	Random read (32 threads) 5151000 items	1	2435
7	baseline	Removed 2575500 items	1	12508
7	baseline	Compacted	1	5030
7	optimized	Bulk loaded 5000000 items	1	15425
7	optimized	Wrote 1000 individual items	1	52
7	optimized	Wrote 100 batches of 1000 items	1	1570
7	optimized	Wrote 50000 individual items	1	3449
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1771
7	optimized	Random read 1000000 items	2	1868
7	optimized	Random range read 500000 x 10 elements	1	2119
7	optimized	Random range read 500000 x 10 elements	2	2318
7	optimized	Random read (4 threads) 5151000 items	1	3075
7	optimized	Random read (8 threads) 5151000 items	1	1229
7	optimized	Random read (16 threads) 5151000 items	1	1269
7	optimized	Random read (32 threads) 5151000 items	1	1191
7	optimized	Removed 2575500 items	1	10142
7	optimized	Compacted	1	3743
