round	variant	phase	occurrence	elapsed_ms
4	baseline	Compacted	1	3767
5	baseline	Bulk loaded 5000000 items	1	14011
5	baseline	Wrote 1000 individual items	1	44
5	baseline	Wrote 100 batches of 1000 items	1	1544
5	baseline	Wrote 50000 individual items	1	3420
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1607
5	baseline	Random read 1000000 items	2	1561
5	baseline	Random range read 500000 x 10 elements	1	1622
5	baseline	Random range read 500000 x 10 elements	2	1607
5	baseline	Random read (4 threads) 5151000 items	1	2053
5	baseline	Random read (8 threads) 5151000 items	1	1142
5	baseline	Random read (16 threads) 5151000 items	1	1214
5	baseline	Random read (32 threads) 5151000 items	1	1166
5	baseline	Removed 2575500 items	1	9994
5	baseline	Compacted	1	3681
5	optimized	Bulk loaded 5000000 items	1	13799
5	optimized	Wrote 1000 individual items	1	44
5	optimized	Wrote 100 batches of 1000 items	1	1528
5	optimized	Wrote 50000 individual items	1	3425
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1588
5	optimized	Random read 1000000 items	2	1709
5	optimized	Random range read 500000 x 10 elements	1	1706
5	optimized	Random range read 500000 x 10 elements	2	1630
5	optimized	Random read (4 threads) 5151000 items	1	2069
5	optimized	Random read (8 threads) 5151000 items	1	1202
5	optimized	Random read (16 threads) 5151000 items	1	1318
5	optimized	Random read (32 threads) 5151000 items	1	1170
5	optimized	Removed 2575500 items	1	9704
5	optimized	Compacted	1	3711
6	optimized	Bulk loaded 5000000 items	1	14266
6	optimized	Wrote 1000 individual items	1	45
6	optimized	Wrote 100 batches of 1000 items	1	1526
6	optimized	Wrote 50000 individual items	1	3462
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1585
6	optimized	Random read 1000000 items	2	1616
6	optimized	Random range read 500000 x 10 elements	1	1640
6	optimized	Random range read 500000 x 10 elements	2	1634
6	optimized	Random read (4 threads) 5151000 items	1	2079
6	optimized	Random read (8 threads) 5151000 items	1	1243
6	optimized	Random read (16 threads) 5151000 items	1	1207
