round	variant	phase	occurrence	elapsed_ms
4	baseline	Compacted	1	3793
5	baseline	Bulk loaded 5000000 items	1	13667
5	baseline	Wrote 1000 individual items	1	44
5	baseline	Wrote 100 batches of 1000 items	1	1465
5	baseline	Wrote 50000 individual items	1	3335
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1552
5	baseline	Random read 1000000 items	2	1511
5	baseline	Random range read 500000 x 10 elements	1	1567
5	baseline	Random range read 500000 x 10 elements	2	1617
5	baseline	Random read (4 threads) 5151000 items	1	2227
5	baseline	Random read (8 threads) 5151000 items	1	1434
5	baseline	Random read (16 threads) 5151000 items	1	1410
5	baseline	Random read (32 threads) 5151000 items	1	1169
5	baseline	Removed 2575500 items	1	9539
5	baseline	Compacted	1	3643
5	optimized	Bulk loaded 5000000 items	1	13835
5	optimized	Wrote 1000 individual items	1	45
5	optimized	Wrote 100 batches of 1000 items	1	1493
5	optimized	Wrote 50000 individual items	1	3400
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1543
5	optimized	Random read 1000000 items	2	1539
5	optimized	Random range read 500000 x 10 elements	1	1588
5	optimized	Random range read 500000 x 10 elements	2	1577
5	optimized	Random read (4 threads) 5151000 items	1	2110
5	optimized	Random read (8 threads) 5151000 items	1	1175
5	optimized	Random read (16 threads) 5151000 items	1	1185
5	optimized	Random read (32 threads) 5151000 items	1	1185
5	optimized	Removed 2575500 items	1	9587
5	optimized	Compacted	1	3700
6	optimized	Bulk loaded 5000000 items	1	14990
6	optimized	Wrote 1000 individual items	1	45
6	optimized	Wrote 100 batches of 1000 items	1	1565
6	optimized	Wrote 50000 individual items	1	3499
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1883
6	optimized	Random read 1000000 items	2	1737
6	optimized	Random range read 500000 x 10 elements	1	1684
6	optimized	Random range read 500000 x 10 elements	2	1611
6	optimized	Random read (4 threads) 5151000 items	1	2016
6	optimized	Random read (8 threads) 5151000 items	1	1167
6	optimized	Random read (16 threads) 5151000 items	1	1166
6	optimized	Random read (32 threads) 5151000 items	1	1164
6	optimized	Removed 2575500 items	1	9615
6	optimized	Compacted	1	3642
6	baseline	Bulk loaded 5000000 items	1	13862
6	baseline	Wrote 1000 individual items	1	45
6	baseline	Wrote 100 batches of 1000 items	1	1492
6	baseline	Wrote 50000 individual items	1	3410
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1821
6	baseline	Random read 1000000 items	2	1792
6	baseline	Random range read 500000 x 10 elements	1	1822
6	baseline	Random range read 500000 x 10 elements	2	1657
6	baseline	Random read (4 threads) 5151000 items	1	2203
6	baseline	Random read (8 threads) 5151000 items	1	1324
6	baseline	Random read (16 threads) 5151000 items	1	1287
6	baseline	Random read (32 threads) 5151000 items	1	1201
6	baseline	Removed 2575500 items	1	10084
6	baseline	Compacted	1	3785
7	baseline	Bulk loaded 5000000 items	1	14976
7	baseline	Wrote 1000 individual items	1	45
7	baseline	Wrote 100 batches of 1000 items	1	1605
7	baseline	Wrote 50000 individual items	1	3466
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1690
7	baseline	Random read 1000000 items	2	1657
7	baseline	Random range read 500000 x 10 elements	1	1645
7	baseline	Random range read 500000 x 10 elements	2	1648
7	baseline	Random read (4 threads) 5151000 items	1	2083
7	baseline	Random read (8 threads) 5151000 items	1	1163
7	baseline	Random read (16 threads) 5151000 items	1	1192
7	baseline	Random read (32 threads) 5151000 items	1	1209
7	baseline	Removed 2575500 items	1	10582
7	baseline	Compacted	1	3848
7	optimized	Bulk loaded 5000000 items	1	14326
7	optimized	Wrote 1000 individual items	1	44
7	optimized	Wrote 100 batches of 1000 items	1	1545
7	optimized	Wrote 50000 individual items	1	3430
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1798
7	optimized	Random read 1000000 items	2	1816
7	optimized	Random range read 500000 x 10 elements	1	1755
7	optimized	Random range read 500000 x 10 elements	2	1781
7	optimized	Random read (4 threads) 5151000 items	1	2227
7	optimized	Random read (8 threads) 5151000 items	1	1205
7	optimized	Random read (16 threads) 5151000 items	1	1299
7	optimized	Random read (32 threads) 5151000 items	1	1204
7	optimized	Removed 2575500 items	1	10119
7	optimized	Compacted	1	3747
