round	variant	phase	occurrence	elapsed_ms
4	baseline	Compacted	1	3812
5	baseline	Bulk loaded 5000000 items	1	14425
5	baseline	Wrote 1000 individual items	1	47
5	baseline	Wrote 100 batches of 1000 items	1	1605
5	baseline	Wrote 50000 individual items	1	3546
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1660
5	baseline	Random read 1000000 items	2	1597
5	baseline	Random range read 500000 x 10 elements	1	1670
5	baseline	Random range read 500000 x 10 elements	2	1656
5	baseline	Random read (4 threads) 5151000 items	1	2144
5	baseline	Random read (8 threads) 5151000 items	1	2135
5	baseline	Random read (16 threads) 5151000 items	1	2152
5	baseline	Random read (32 threads) 5151000 items	1	2166
5	baseline	Removed 2575500 items	1	10715
5	baseline	Compacted	1	4083
5	optimized	Bulk loaded 5000000 items	1	14851
5	optimized	Wrote 1000 individual items	1	47
5	optimized	Wrote 100 batches of 1000 items	1	1651
5	optimized	Wrote 50000 individual items	1	3609
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1702
5	optimized	Random read 1000000 items	2	1693
5	optimized	Random range read 500000 x 10 elements	1	1748
5	optimized	Random range read 500000 x 10 elements	2	1854
5	optimized	Random read (4 threads) 5151000 items	1	2431
5	optimized	Random read (8 threads) 5151000 items	1	2314
5	optimized	Random read (16 threads) 5151000 items	1	2293
5	optimized	Random read (32 threads) 5151000 items	1	2354
5	optimized	Removed 2575500 items	1	10187
5	optimized	Compacted	1	3916
6	optimized	Bulk loaded 5000000 items	1	14913
6	optimized	Wrote 1000 individual items	1	47
6	optimized	Wrote 100 batches of 1000 items	1	1549
6	optimized	Wrote 50000 individual items	1	3586
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1660
6	optimized	Random read 1000000 items	2	1658
6	optimized	Random range read 500000 x 10 elements	1	1827
6	optimized	Random range read 500000 x 10 elements	2	1646
6	optimized	Random read (4 threads) 5151000 items	1	2162
6	optimized	Random read (8 threads) 5151000 items	1	2166
6	optimized	Random read (16 threads) 5151000 items	1	2146
6	optimized	Random read (32 threads) 5151000 items	1	2144
6	optimized	Removed 2575500 items	1	10239
6	optimized	Compacted	1	3899
6	baseline	Bulk loaded 5000000 items	1	14715
6	baseline	Wrote 1000 individual items	1	48
6	baseline	Wrote 100 batches of 1000 items	1	1594
6	baseline	Wrote 50000 individual items	1	3665
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1687
6	baseline	Random read 1000000 items	2	1639
6	baseline	Random range read 500000 x 10 elements	1	1716
6	baseline	Random range read 500000 x 10 elements	2	1675
6	baseline	Random read (4 threads) 5151000 items	1	2246
